****************************************
Report : report_global_slack
Design : multdiv
Version: K-2015.06-SP3-2
Date   : Wed Apr 28 12:37:20 2021
****************************************

       Max_Rise      Max_Fall   Point
              *             *   U1156/A1
              *             *   U1156/A2
              *             *   U1156/ZN
              *             *   U1158/A1
              *             *   U1158/A2
              *             *   U1158/ZN
              *             *   U1161/A1
              *             *   U1161/A2
              *             *   U1161/ZN
              *             *   U1162/A1
              *             *   U1162/A2
              *             *   U1162/ZN
           0.27          0.29   U166/A
           0.30          0.34   U166/B
           0.32          0.27   U166/ZN
              *             *   U174/A1
              *             *   U174/A2
           0.37          0.28   U174/B1
              *             *   U174/B2
           0.28          0.37   U174/ZN
          -2.13         -2.06   U703/A
          -2.06         -2.13   U703/ZN
              *             *   product_in_tri2_64_/A
              *             *   product_in_tri2_64_/EN
              *             *   product_in_tri2_64_/Z
              *             *   product_in_tri3_0_/A
              *             *   product_in_tri3_0_/EN
              *             *   product_in_tri3_0_/Z
              *             *   product_in_tri2_0_/A
              *             *   product_in_tri2_0_/EN
              *             *   product_in_tri2_0_/Z
              *             *   product_in_tri2_2_/A
              *             *   product_in_tri2_2_/EN
              *             *   product_in_tri2_2_/Z
              *             *   product_in_tri3_42_/A
              *             *   product_in_tri3_42_/EN
              *             *   product_in_tri3_42_/Z
              *             *   product_in_tri2_42_/A
              *             *   product_in_tri2_42_/EN
              *             *   product_in_tri2_42_/Z
              *             *   product_in_tri3_40_/A
              *             *   product_in_tri3_40_/EN
              *             *   product_in_tri3_40_/Z
              *             *   product_in_tri2_40_/A
              *             *   product_in_tri2_40_/EN
              *             *   product_in_tri2_40_/Z
              *             *   product_in_tri3_36_/A
              *             *   product_in_tri3_36_/EN
              *             *   product_in_tri3_36_/Z
              *             *   product_in_tri3_38_/A
              *             *   product_in_tri3_38_/EN
              *             *   product_in_tri3_38_/Z
              *             *   product_in_tri2_36_/A
              *             *   product_in_tri2_36_/EN
              *             *   product_in_tri2_36_/Z
              *             *   product_in_tri2_38_/A
              *             *   product_in_tri2_38_/EN
              *             *   product_in_tri2_38_/Z
              *             *   product_in_tri2_63_/A
              *             *   product_in_tri2_63_/EN
              *             *   product_in_tri2_63_/Z
              *             *   product_in_tri3_63_/A
              *             *   product_in_tri3_63_/EN
              *             *   product_in_tri3_63_/Z
              *             *   product_in_tri3_48_/A
              *             *   product_in_tri3_48_/EN
              *             *   product_in_tri3_48_/Z
              *             *   product_in_tri3_50_/A
              *             *   product_in_tri3_50_/EN
              *             *   product_in_tri3_50_/Z
              *             *   product_in_tri3_56_/A
              *             *   product_in_tri3_56_/EN
              *             *   product_in_tri3_56_/Z
              *             *   product_in_tri3_58_/A
              *             *   product_in_tri3_58_/EN
              *             *   product_in_tri3_58_/Z
              *             *   product_in_tri2_48_/A
              *             *   product_in_tri2_48_/EN
              *             *   product_in_tri2_48_/Z
              *             *   product_in_tri2_50_/A
              *             *   product_in_tri2_50_/EN
              *             *   product_in_tri2_50_/Z
              *             *   product_in_tri2_56_/A
              *             *   product_in_tri2_56_/EN
              *             *   product_in_tri2_56_/Z
              *             *   product_in_tri2_58_/A
              *             *   product_in_tri2_58_/EN
              *             *   product_in_tri2_58_/Z
              *             *   product_in_tri3_44_/A
              *             *   product_in_tri3_44_/EN
              *             *   product_in_tri3_44_/Z
              *             *   product_in_tri3_46_/A
              *             *   product_in_tri3_46_/EN
              *             *   product_in_tri3_46_/Z
              *             *   product_in_tri3_52_/A
              *             *   product_in_tri3_52_/EN
              *             *   product_in_tri3_52_/Z
              *             *   product_in_tri3_54_/A
              *             *   product_in_tri3_54_/EN
              *             *   product_in_tri3_54_/Z
              *             *   product_in_tri2_44_/A
              *             *   product_in_tri2_44_/EN
              *             *   product_in_tri2_44_/Z
              *             *   product_in_tri2_46_/A
              *             *   product_in_tri2_46_/EN
              *             *   product_in_tri2_46_/Z
              *             *   product_in_tri2_52_/A
              *             *   product_in_tri2_52_/EN
              *             *   product_in_tri2_52_/Z
              *             *   product_in_tri2_54_/A
              *             *   product_in_tri2_54_/EN
              *             *   product_in_tri2_54_/Z
              *             *   product_in_tri3_34_/A
              *             *   product_in_tri3_34_/EN
              *             *   product_in_tri3_34_/Z
              *             *   product_in_tri2_34_/A
              *             *   product_in_tri2_34_/EN
              *             *   product_in_tri2_34_/Z
              *             *   product_in_tri2_32_/A
              *             *   product_in_tri2_32_/EN
              *             *   product_in_tri2_32_/Z
              *             *   product_in_tri2_25_/A
              *             *   product_in_tri2_25_/EN
              *             *   product_in_tri2_25_/Z
              *             *   product_in_tri2_7_/A
              *             *   product_in_tri2_7_/EN
              *             *   product_in_tri2_7_/Z
              *             *   product_in_tri2_4_/A
              *             *   product_in_tri2_4_/EN
              *             *   product_in_tri2_4_/Z
              *             *   product_in_tri2_12_/A
              *             *   product_in_tri2_12_/EN
              *             *   product_in_tri2_12_/Z
              *             *   product_in_tri2_15_/A
              *             *   product_in_tri2_15_/EN
              *             *   product_in_tri2_15_/Z
              *             *   product_in_tri2_16_/A
              *             *   product_in_tri2_16_/EN
              *             *   product_in_tri2_16_/Z
              *             *   product_in_tri2_20_/A
              *             *   product_in_tri2_20_/EN
              *             *   product_in_tri2_20_/Z
